track_id,track_name,artist_name,popularity,duration_ms
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,81,230613
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,84,176658
7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars,74,197469
40IvRPm1MXE4dOkEdCktcc,Viva La Vida,Shalom Margaret,40,176356
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,68,122772
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,87,247160
05Kms0excTlHRel656GZ3U,Monsters,Katie Sky,59,217840
0lks2Kt9veMOFEAPN0fsqN,Lily,Alan Walker,72,195840
0hTrQoqDmFnA4S1PC265e1,Fly Away,TheFatRat,67,194267
1yvMUkIOTeUNtNWlWRgANS,Unstoppable,Sia,78,217746
69Sy7207dnixZ6w7RSV9Kb,RISE,League of Legends,68,192881
1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,League of Legends,74,235000
3f4fc8c8unrQeKecmUPEDR,Warriors,League of Legends,65,204586
0ked784BOZ1JtRVHux98jE,Burn It All Down,League of Legends,61,201840
3S4px9f4lceWdKf0gWciFu,Cheap Thrills,Sia,69,211666
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,88,233712
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,88,263400
2ZSB7IqV9ApkaKFApdRq93,A Little Love,Fiona Fung,43,189386
3NxuezMdSLgt4OwHzBoUhL,Way Back Home,SHAUN,69,214136
6SRWhUJcD2YKahCwHavz3X,Darkside,Alan Walker,73,211680
2Fjz5ZC5BvFdCqcnTZ3ilH,Sing Me to Sleep,Alan Walker,59,189333
6bnehRmmT2F3vLR0SfOuqF,Summertime,K-391,1,285014
3VvBPkc24zC7x05mgJTyGO,Monody (feat. Laura Brehm),TheFatRat,2,290467
4877aUM6Fw9gCk2EWh1Pyf,Energy,Elektronomia,1,198750
0q1YL8hfWM3knO1s0gdRKs,Sky High,Elektronomia,2,236254
3pqfx1XOcuFZDeKOwfOky7,Cloud 9,Tobu,51,277524
1TWfkGrhF7ob0nwB2M6knb,Animals,Martin Garrix,2,304228
70IfAocBAzUcc7v7QoikxD,Virus (How About Now),Martin Garrix,45,273764
1JDIArrcepzWDTAWXdGYmP,I Want You To Know,Zedd,68,240000
39rqDP2s2hN1JtXptyeM3u,Ignite - 2016 League Of Legends World Championship,Zedd,53,195466
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,80,169353
4fXGWiVhlOLdhwRDP6pIFG,Lemon Tree,Fools Garden,2,191026
4B2kkxg3wKSTZw5JPaUtzQ,On & On,Cartoon,5,207068
5yFSF6qQA1rcLsQRnBsZgb,All Falls Down (feat. Juliander),Alan Walker,61,199111
4nOygULhEuDO5ZBRNPFaso,Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,66,212520
3LlmKSHR3Rs0Y3KHQLAYDk,Alone,Alan Walker,75,160426
698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,80,212106
2k1bFfcPIRTMeCGO48F0OE,The Calling,TheFatRat,21,233590
72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),Clean Bandit,79,212733
6RSIVvksolVFbjyJypupki,Never Be Alone,TheFatRat,0,260000
08z6EsebfUH0Q6J0Wf3eWf,My Heart,Different Heaven,1,266900
2F9xBxKbx2M0pbgtSu8fLf,Victory,Two Steps from Hell,5,320467
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,86,244960
4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,82,189486
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,84,199986
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,11,141805
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,81,205680
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,85,200786
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,84,233720
25AvaE23MXl06YRtQcQoJS,Welcome to the Internet,Bo Burnham,0,275999
7MTZVwYiEahXQIyCU2FLPV,Invincible,Deaf Kev,1,279600
1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,84,231173
5g1BARk25uUJtEPSUwcjnU,Hero (feat. Christina Perri),Cash Cash,63,197840
06AMpcajziFnEKniV25fiU,Star Sky,Two Steps from Hell,2,330579
2DPekI6LRM0HZiUShQiD2F,Horizon,Janji,44,197055
02shCNmb6IvgB5jLqKjtkK,Nevada,Vicetone,71,208561
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,71,187931
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,74,173381
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,83,258266
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),The Script,81,202533
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,75,212352
0PPXEgevjLKKso0QVhEFZ4,La La La,Naughty Boy,0,220152
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,80,182360
1almCHdsfikRPfVB9VrEdT,Little Do You Know,Alex & Sierra,69,185200
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,84,211560
7CQjnYsGLdtcrsp95oBpCv,Close To The Sun,TheFatRat,3,192239
47qYqGPgMTh3l1PRKBHEfI,Unity,TheFatRat,2,249285
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,87,204346
3MEYFivt6bilQ9q9mFWZ4g,Alone,Marshmello,71,273802
1DpcBu9lrHO6tmboAkdY4B,Spectre,Alan Walker,0,230634
5qaEfEh1AtSdrdrByCP7qR,Demons,Imagine Dragons,83,177506
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,81,260773
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,85,187146
4r5wtdQV4NWsz5AEwy1YCz,Save Me,DEAMN,49,184918
0euyZh7zSUmpNXVpVBdcN2,Candyland,Tobu,56,200639
0lG6QM1jjbbX5UUn3DPmrZ,Lost Control,Alan Walker,63,222320
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,85,208786
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,79,186986
4Wui4miiL1JR3QqWcbcKwD,Love Me Like You Do,Ellie Goulding,2,253520
1nInOsHbtotAmEOQhtvnzP,Stronger (What Doesn't Kill You),Kelly Clarkson,75,221946
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,81,219200
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,87,242373
6BAnxKyld909yo6Pk1DO3r,Hello,OMFG,60,226307
6habFhsOp2NvshLv26DqMb,Despacito,Luis Fonsi,81,229360
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber,83,214240
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,86,247426
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,Ava Max,80,187436
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,63,210580
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,86,205946
378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),Sia,75,224813
04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,80,228360
2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,80,189466
6lanRgr6wXibZr8KgzXxBl,a thousand years,Christina Perri,82,285120
6cpk00i5TxCqSeqNi2HuIe,One More Night,Maroon 5,79,219546
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,81,217306
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,73,235545
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,87,257265
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),Wiz Khalifa,82,229525
4jbmgIyjGoXjY01XxatOx6,Dark Horse,Katy Perry,80,215672
